"m3","y30","y1","m6","y2","y10","y3","time","y5","y7"
"5","5.811000","5.244500","5.230500","5.357000","5.544500","5.3750","1998-01-31","5.4160","5.5305"
"5","5.891053","5.308421","5.274211","5.417895","5.574737","5.434211","1998-02-28","5.492632","5.603158"
"5","5.948182","5.389545","5.248182","5.561364","5.647273","5.566818","1998-03-31","5.611818","5.709091"
"5","5.923810","5.379048","5.262857","5.564286","5.637619","5.580952","1998-04-30","5.611905","5.695714"
"5","5.9265","5.440000","5.356500","5.593500","5.652500","5.607500","1998-05-31","5.6280","5.718500"
"5","5.703636","5.408636","5.323636","5.5200","5.496364","5.518636","1998-06-30","5.524091","5.563182"
"5","5.676818","5.358182","5.227727","5.458182","5.461364","5.466364","1998-07-31","5.461364","5.520909"
"5","5.540476","5.205238","5.151905","5.268571","5.341905","5.239048","1998-08-31","5.274762","5.358571"
"5","5.204762","4.710952","4.810476","4.666190","4.806667","4.615714","1998-09-30","4.623810","4.761905"
"4","5.010476","4.121429","4.196190","4.091905","4.530000","4.179048","1998-10-31","4.184286","4.457619"
"5","5.248421","4.525263","4.586842","4.5400","4.827368","4.572105","1998-11-30","4.537368","4.775789"
"4","5.059091","4.518636","4.568182","4.506364","4.645000","4.484545","1998-12-31","4.450000","4.649091"
"4","5.157895","4.514211","4.488421","4.615263","4.722105","4.611579","1999-01-31","4.600526","4.795263"
"5","5.365263","4.702632","4.607368","4.876316","4.998947","4.900526","1999-02-28","4.914737","5.098421"
"5","5.580435","4.781304","4.646522","5.053043","5.232609","5.105652","1999-03-31","5.140435","5.360000"
"4","5.547727","4.690000","4.544545","4.976818","5.184545","5.032273","1999-04-30","5.079545","5.280000"
"5","5.8055","4.8490","4.7460","5.254500","5.539500","5.3330","1999-05-31","5.437000","5.6445"
"5","6.041818","5.096818","5.029545","5.618636","5.899545","5.697273","1999-06-30","5.809091","6.047727"
"5","5.983333","5.031905","4.753810","5.554762","5.791905","5.618095","1999-07-31","5.678571","5.944286"
"5","6.068636","5.197727","5.088182","5.678182","5.939091","5.766364","1999-08-31","5.841364","6.150909"
"5","6.071429","5.251429","5.084286","5.661905","5.915238","5.745714","1999-09-30","5.801905","6.119048"
"5","6.2635","5.4290","5.2005","5.8625","6.112000","5.942500","1999-10-31","6.033500","6.329500"
"5","6.145000","5.553500","5.428000","5.862000","6.034000","5.9185","1999-11-30","5.969000","6.1730"
"5","6.351364","5.842273","5.684091","6.104545","6.275455","6.142727","1999-12-31","6.186364","6.376818"
"5","6.6255","6.1215","5.7595","6.440000","6.661000","6.489000","2000-01-31","6.579500","6.702500"
"6","6.2320","6.218000","5.995500","6.610500","6.519500","6.652500","2000-02-29","6.6780","6.716500"
"6","6.053478","6.222174","6.113478","6.528261","6.256522","6.528261","2000-03-31","6.503913","6.506522"
"6","5.846316","6.150526","6.069474","6.403684","5.990526","6.356316","2000-04-30","6.262632","6.265789"
"6","6.148636","6.326364","6.389091","6.809545","6.440455","6.767727","2000-05-31","6.687727","6.689545"
"6","5.926364","6.172727","6.238636","6.481818","6.097273","6.426364","2000-06-30","6.300909","6.326818"
"6","5.851000","6.082500","6.2735","6.339000","6.054000","6.277000","2000-07-31","6.1790","6.2235"
"6","5.716087","6.183043","6.354783","6.228696","5.826087","6.174348","2000-08-31","6.060870","6.050435"
"6","5.826500","6.1255","6.2495","6.0815","5.7990","6.016500","2000-09-30","5.934500","5.980500"
"6","5.803333","6.012381","6.315714","5.912381","5.738571","5.845714","2000-10-31","5.782857","5.837143"
"6","5.775714","6.091905","6.339048","5.875238","5.717143","5.786667","2000-11-30","5.697619","5.781429"
"6","5.490500","5.602500","5.9230","5.352000","5.2405","5.259500","2000-12-31","5.168000","5.283000"
"5","5.540952","4.814762","5.146190","4.760000","5.160952","4.774286","2001-01-31","4.858571","5.130476"
"5","5.454737","4.684211","4.888947","4.656842","5.098947","4.707895","2001-02-28","4.886316","5.097368"
"5","5.339545","4.298636","4.435455","4.342273","4.885455","4.428182","2001-03-31","4.642727","4.882727"
"4","5.646000","3.976500","3.985500","4.2340","5.1410","4.4230","2001-04-30","4.7635","5.034500"
"4","5.780000","3.781364","3.738182","4.260000","5.391364","4.507273","2001-05-31","4.927727","5.240000"
"4","5.669524","3.576190","3.559048","4.0800","5.284286","4.348095","2001-06-30","4.807143","5.138095"
"4","5.613333","3.617143","3.556667","4.038571","5.236190","4.313333","2001-07-31","4.761905","5.060952"
"3","5.483478","3.470435","3.386522","3.757391","4.971304","4.037826","2001-08-31","4.573913","4.843478"
"3","5.482941","2.824706","2.705882","3.118824","4.731765","3.450588","2001-09-30","4.115294","4.512353"
"2","5.315455","2.330455","2.170909","2.725909","4.566818","3.136818","2001-10-31","3.910000","4.307273"
"2","5.118000","2.182000","1.924000","2.782500","4.6515","3.2235","2001-11-30","3.972500","4.4220"
"2","5.480000","2.2155","1.815500","3.107000","5.0875","3.6245","2001-12-31","4.389500","4.8590"
"2","5.445238","2.158571","1.770952","3.028095","5.035714","3.556667","2002-01-31","4.3400","4.789524"
"2","5.400909","2.232632","1.863684","3.015263","4.911579","3.546316","2002-02-28","4.298421","4.714737"
"2","NaN","2.567000","2.0565","3.5575","5.2840","4.142000","2002-03-31","4.738000","5.136500"
"2","NaN","2.475909","1.975000","3.422727","5.210909","4.007273","2002-04-30","4.646818","5.016364"
"2","NaN","2.354091","1.911364","3.264091","5.164545","3.801818","2002-05-31","4.494545","4.900455"
"2","NaN","2.196500","1.8325","2.993000","4.9265","3.485000","2002-06-30","4.1860","4.6010"
"2","NaN","1.960909","1.736364","2.556818","4.653182","3.010909","2002-07-31","3.807273","4.304091"
"2","NaN","1.757273","1.637273","2.133636","4.257273","2.522273","2002-08-31","3.294545","3.875000"
"2","NaN","1.715000","1.6385","2.004500","3.870000","2.317000","2002-09-30","2.938000","3.4960"
"2","NaN","1.650000","1.589545","1.911818","3.940909","2.253636","2002-10-31","2.945000","3.536818"
"1","NaN","1.491579","1.297895","1.923158","4.048421","2.315263","2002-11-30","3.054737","3.644211"
"1","NaN","1.450000","1.267619","1.836190","4.032381","2.234762","2002-12-31","3.033333","3.626667"
"1","NaN","1.364286","1.221905","1.743333","4.048571","2.182381","2003-01-31","3.052381","3.601905"
"1","NaN","1.296316","1.195263","1.627895","3.902632","2.050526","2003-02-28","2.897895","3.447895"
"1","NaN","1.240000","1.156667","1.573810","3.807143","1.975238","2003-03-31","2.783810","3.344762"
"1","NaN","1.267143","1.169048","1.622381","3.958571","2.059048","2003-04-30","2.928571","3.474286"
"1","NaN","1.181429","1.106190","1.415238","3.569048","1.747619","2003-05-31","2.515714","3.071429"
"1","NaN","1.009524","0.943333","1.227143","3.334286","1.514286","2003-06-30","2.265714","2.839524"
"1","NaN","1.116364","0.972727","1.474091","3.975455","1.932727","2003-07-31","2.872273","3.453182"
"1","NaN","1.308571","1.052381","1.864286","4.445238","2.435238","2003-08-31","3.370000","3.962381"
"1","NaN","1.237619","1.029048","1.706190","4.274286","2.233333","2003-09-30","3.184762","3.744286"
"1","NaN","1.254091","1.019545","1.747727","4.290455","2.263636","2003-10-31","3.185909","3.751364"
"1","NaN","1.336667","1.042222","1.926667","4.300000","2.450556","2003-11-30","3.287222","3.808333"
"1","NaN","1.305909","1.010909","1.907273","4.267727","2.440000","2003-12-31","3.268636","3.790455"
"1","NaN","1.239500","0.990000","1.761000","4.150500","2.271000","2004-01-31","3.1215","3.646500"
"1","NaN","1.243684","1.011053","1.740000","4.084211","2.246842","2004-02-29","3.067895","3.585263"
